fiscal_year,fiscal_quarter,visits,bounces,brand,fiscal_quarter_start_date,fiscal_month,fiscal_week,sales,fiscal_year_start_date,fiscal_week_start_date,fiscal_month_start_date,device_category,date,units,orders
2017,1,26924,6155,JAB,2017-02-05,1,1,188801.72360739703,2017-02-05,2017-02-05,2017-02-05,desktop,2017-02-05,3912.1101970537593,1429.0142638818136
2017,1,31763,10976,JAB,2017-02-05,1,1,55680.134069393607,2017-02-05,2017-02-05,2017-02-05,mobile,2017-02-05,1179.2863975511766,452.61385634233318
2017,1,9733,2583,JAB,2017-02-05,1,1,41125.882323209429,2017-02-05,2017-02-05,2017-02-05,tablet,2017-02-05,818.6034053950641,301.3718797758533
2017,1,,,JAB,2017-02-05,1,1,4228.0500000000002,2017-02-05,2017-02-05,2017-02-05,telesales,2017-02-05,125.0,50.0
2017,1,27352,5549,JAB,2017-02-05,1,1,77454.488562050363,2017-02-05,2017-02-05,2017-02-05,desktop,2017-02-06,1576.2289366647296,623.05865102639291
2017,1,19825,7557,JAB,2017-02-05,1,1,12494.91862425378,2017-02-05,2017-02-05,2017-02-05,mobile,2017-02-06,239.2388146426496,87.387096774193552
2017,1,5517,1706,JAB,2017-02-05,1,1,7608.292813695849,2017-02-05,2017-02-05,2017-02-05,tablet,2017-02-06,154.53224869262058,63.55425219941349
2017,1,,,JAB,2017-02-05,1,1,5014.1800000000003,2017-02-05,2017-02-05,2017-02-05,telesales,2017-02-06,98.0,49.0
2017,1,38348,10000,JAB,2017-02-05,1,1,125948.29369124214,2017-02-05,2017-02-05,2017-02-05,desktop,2017-02-07,2183.634197617379,821.47387068201954
2017,1,41615,18635,JAB,2017-02-05,1,1,43462.449784322343,2017-02-05,2017-02-05,2017-02-05,mobile,2017-02-07,727.87806587245973,296.13906111603188
2017,1,9673,3139,JAB,2017-02-05,1,1,25354.326524435419,2017-02-05,2017-02-05,2017-02-05,tablet,2017-02-07,444.48773651016114,163.38706820194864
2017,1,,,JAB,2017-02-05,1,1,5274.9099999999999,2017-02-05,2017-02-05,2017-02-05,telesales,2017-02-07,98.0,50.0
2017,1,41407,9970,JAB,2017-02-05,1,1,237573.09247665128,2017-02-05,2017-02-05,2017-02-05,desktop,2017-02-08,5371.0764027671021,1666.4292929292931
2017,1,37127,15938,JAB,2017-02-05,1,1,81717.343017517254,2017-02-05,2017-02-05,2017-02-05,mobile,2017-02-08,1697.7540353574175,550.26767676767679
2017,1,9052,3085,JAB,2017-02-05,1,1,31808.35450583155,2017-02-05,2017-02-05,2017-02-05,tablet,2017-02-08,654.16956187548044,214.30303030303031
2017,1,,,JAB,2017-02-05,1,1,5612.3800000000001,2017-02-05,2017-02-05,2017-02-05,telesales,2017-02-08,149.0,68.0
2017,1,29846,6286,JAB,2017-02-05,1,1,100640.56313821783,2017-02-05,2017-02-05,2017-02-05,desktop,2017-02-09,2642.3638132295723,892.95355191256829
2017,1,24759,9524,JAB,2017-02-05,1,1,20918.717651428102,2017-02-05,2017-02-05,2017-02-05,mobile,2017-02-09,648.10505836575874,224.62841530054644
2017,1,6947,2207,JAB,2017-02-05,1,1,13075.689210354059,2017-02-05,2017-02-05,2017-02-05,tablet,2017-02-09,291.53112840466929,103.41803278688525
2017,1,,,JAB,2017-02-05,1,1,4088.3000000000002,2017-02-05,2017-02-05,2017-02-05,telesales,2017-02-09,116.0,49.0
2017,1,28605,5332,JAB,2017-02-05,1,1,146327.78724629903,2017-02-05,2017-02-05,2017-02-05,desktop,2017-02-10,2199.9223602484471,840.53488372093022
2017,1,25630,9322,JAB,2017-02-05,1,1,42631.889842372831,2017-02-05,2017-02-05,2017-02-05,mobile,2017-02-10,515.91614906832297,224.06976744186048
2017,1,6654,1868,JAB,2017-02-05,1,1,19169.572911328094,2017-02-05,2017-02-05,2017-02-05,tablet,2017-02-10,284.16149068322983,110.3953488372093
2017,1,,,JAB,2017-02-05,1,1,8545.2900000000009,2017-02-05,2017-02-05,2017-02-05,telesales,2017-02-10,152.0,65.0
2017,1,19915,3719,JAB,2017-02-05,1,1,106763.37620632222,2017-02-05,2017-02-05,2017-02-05,desktop,2017-02-11,1832.9192708333335,645.75262543757299
2017,1,26151,9409,JAB,2017-02-05,1,1,29327.613553924806,2017-02-05,2017-02-05,2017-02-05,mobile,2017-02-11,418.98524305555554,176.61610268378064
2017,1,7629,2080,JAB,2017-02-05,1,1,17922.170239752908,2017-02-05,2017-02-05,2017-02-05,tablet,2017-02-11,350.09548611111109,123.63127187864643
2017,1,,,JAB,2017-02-05,1,1,7954.3400000000001,2017-02-05,2017-02-05,2017-02-05,telesales,2017-02-11,121.0,52.0
2017,1,22511,4258,JAB,2017-02-05,1,2,153494.44785783772,2017-02-05,2017-02-12,2017-02-05,desktop,2017-02-12,2694.2105419892791,880.37099494097799
2017,1,29054,10895,JAB,2017-02-05,1,2,39049.653482660324,2017-02-05,2017-02-12,2017-02-05,mobile,2017-02-12,598.58278737343653,230.38785834738616
2017,1,8982,2458,JAB,2017-02-05,1,2,40868.978659501925,2017-02-05,2017-02-12,2017-02-05,tablet,2017-02-12,656.20667063728411,209.24114671163574
2017,1,,,JAB,2017-02-05,1,2,4133.6000000000004,2017-02-05,2017-02-12,2017-02-05,telesales,2017-02-12,74.0,30.0
2017,1,27033,5834,JAB,2017-02-05,1,2,134510.31532906729,2017-02-05,2017-02-12,2017-02-05,desktop,2017-02-13,3102.5743603411515,1056.5391169635941
2017,1,20017,7527,JAB,2017-02-05,1,2,24662.219185994534,2017-02-05,2017-02-12,2017-02-05,mobile,2017-02-13,572.2550639658848,209.995352439969
2017,1,5527,1673,JAB,2017-02-05,1,2,20490.535484938133,2017-02-05,2017-02-12,2017-02-05,tablet,2017-02-13,478.17057569296378,145.46553059643688
2017,1,,,JAB,2017-02-05,1,2,4598.1000000000004,2017-02-05,2017-02-12,2017-02-05,telesales,2017-02-13,99.0,40.0
2017,1,21109,4553,JAB,2017-02-05,1,2,58177.411110066285,2017-02-05,2017-02-12,2017-02-05,desktop,2017-02-14,866.24708171206225,366.87333333333333
2017,1,16292,6422,JAB,2017-02-05,1,2,13820.008387263048,2017-02-05,2017-02-12,2017-02-05,mobile,2017-02-14,173.47470817120623,72.508888888888876
2017,1,4345,1414,JAB,2017-02-05,1,2,9659.240502670682,2017-02-05,2017-02-12,2017-02-05,tablet,2017-02-14,118.27821011673151,47.617777777777782
2017,1,,,JAB,2017-02-05,1,2,2227.4000000000001,2017-02-05,2017-02-12,2017-02-05,telesales,2017-02-14,45.0,24.0
2017,1,27516,5512,JAB,2017-02-05,1,2,146929.28261828917,2017-02-05,2017-02-12,2017-02-05,desktop,2017-02-15,2301.9625187406295,805.00900900900899
2017,1,22942,8531,JAB,2017-02-05,1,2,27480.775754103801,2017-02-05,2017-02-12,2017-02-05,mobile,2017-02-15,418.4366566716642,159.29129129129129
2017,1,5718,1620,JAB,2017-02-05,1,2,19370.621627606957,2017-02-05,2017-02-12,2017-02-05,tablet,2017-02-15,272.60082458770614,103.69969969969971
2017,1,,,JAB,2017-02-05,1,2,7192.7600000000002,2017-02-05,2017-02-12,2017-02-05,telesales,2017-02-15,109.0,48.0
2017,1,36691,5358,JAB,2017-02-05,1,2,298952.92786276835,2017-02-05,2017-02-12,2017-02-05,desktop,2017-02-16,7044.1365298659084,2098.6987713040035
2017,1,29930,9237,JAB,2017-02-05,1,2,70531.144697301119,2017-02-05,2017-02-12,2017-02-05,mobile,2017-02-16,1566.6363266964649,477.43440348791125
2017,1,7307,1609,JAB,2017-02-05,1,2,38100.777439930753,2017-02-05,2017-02-12,2017-02-05,tablet,2017-02-16,785.22714343762698,244.8668252080856
2017,1,,,JAB,2017-02-05,1,2,7485.4799999999996,2017-02-05,2017-02-12,2017-02-05,telesales,2017-02-16,172.0,68.0
2017,1,35672,5466,JAB,2017-02-05,1,2,287884.87801960099,2017-02-05,2017-02-12,2017-02-05,desktop,2017-02-17,7909.9919084498906,2211.5746185336807
2017,1,29865,9746,JAB,2017-02-05,1,2,71760.886827589915,2017-02-05,2017-02-12,2017-02-05,mobile,2017-02-17,1925.2030979077563,563.95720133978421
2017,1,7157,1591,JAB,2017-02-05,1,2,33226.255152809281,2017-02-05,2017-02-12,2017-02-05,tablet,2017-02-17,1000.8049936423535,273.46818012653517
2017,1,,,JAB,2017-02-05,1,2,4321.3500000000004,2017-02-05,2017-02-12,2017-02-05,telesales,2017-02-17,155.0,56.0
2017,1,26244,4084,JAB,2017-02-05,1,2,219388.61854031638,2017-02-05,2017-02-12,2017-02-05,desktop,2017-02-18,4980.5728202630298,1476.0389221556886
2017,1,34277,11386,JAB,2017-02-05,1,2,61756.555990869296,2017-02-05,2017-02-12,2017-02-05,mobile,2017-02-18,1326.6867998051632,435.97504990019956
2017,1,9567,2315,JAB,2017-02-05,1,2,50691.60546881421,2017-02-05,2017-02-12,2017-02-05,tablet,2017-02-18,1216.7403799318072,333.98602794411175
2017,1,,,JAB,2017-02-05,1,2,5686.9300000000003,2017-02-05,2017-02-12,2017-02-05,telesales,2017-02-18,141.0,45.0
2017,1,27834,4197,JAB,2017-02-05,1,3,275541.40275195101,2017-02-05,2017-02-19,2017-02-05,desktop,2017-02-19,5807.5771474019084,1805.4564431955039
2017,1,34942,11013,JAB,2017-02-05,1,3,74325.035951780839,2017-02-05,2017-02-19,2017-02-05,mobile,2017-02-19,1674.5917285259809,531.33881975110398
2017,1,9877,2249,JAB,2017-02-05,1,3,58079.681296268631,2017-02-05,2017-02-19,2017-02-05,tablet,2017-02-19,1290.8311240721102,392.20473705339219
2017,1,,,JAB,2017-02-05,1,3,5400.4700000000003,2017-02-05,2017-02-19,2017-02-05,telesales,2017-02-19,119.0,44.0
2017,1,43592,6043,JAB,2017-02-05,1,3,480343.81032936211,2017-02-05,2017-02-19,2017-02-05,desktop,2017-02-20,10194.759395356607,3134.6570379436967
2017,1,38656,11575,JAB,2017-02-05,1,3,125949.89823910524,2017-02-05,2017-02-19,2017-02-05,mobile,2017-02-20,2394.5197093703023,863.48445532435744
2017,1,9806,2225,JAB,2017-02-05,1,3,87346.401431533377,2017-02-05,2017-02-19,2017-02-05,tablet,2017-02-20,1583.7208952730916,483.85850673194614
2017,1,,,JAB,2017-02-05,1,3,8613.25,2017-02-05,2017-02-19,2017-02-05,telesales,2017-02-20,258.0,87.0
2017,1,28060,6238,JAB,2017-02-05,1,3,68014.318303590699,2017-02-05,2017-02-19,2017-02-05,desktop,2017-02-21,963.82266009852219,403.77475728155343
2017,1,24938,10360,JAB,2017-02-05,1,3,15663.712881575782,2017-02-05,2017-02-19,2017-02-05,mobile,2017-02-21,196.45484400656815,88.528155339805821
2017,1,6111,2042,JAB,2017-02-05,1,3,10584.698814833509,2017-02-05,2017-02-19,2017-02-05,tablet,2017-02-21,161.72249589490968,63.697087378640774
2017,1,,,JAB,2017-02-05,1,3,7438.0900000000001,2017-02-05,2017-02-19,2017-02-05,telesales,2017-02-21,205.0,63.0
2017,1,28205,6638,JAB,2017-02-05,1,3,96845.481597143735,2017-02-05,2017-02-19,2017-02-05,desktop,2017-02-22,2284.7062684607808,824.06985294117646
2017,1,25993,10723,JAB,2017-02-05,1,3,21770.31090961926,2017-02-05,2017-02-19,2017-02-05,mobile,2017-02-22,670.89727600918934,231.07720588235296
2017,1,6048,2043,JAB,2017-02-05,1,3,13273.577493236977,2017-02-05,2017-02-19,2017-02-05,tablet,2017-02-22,320.39645553002953,92.852941176470594
2017,1,,,JAB,2017-02-05,1,3,3376.1900000000001,2017-02-05,2017-02-19,2017-02-05,telesales,2017-02-22,86.0,45.0
2017,1,20996,4803,JAB,2017-02-05,1,3,56358.983117412499,2017-02-05,2017-02-19,2017-02-05,desktop,2017-02-23,867.58108108108115,363.64096916299559
2017,1,18028,7530,JAB,2017-02-05,1,3,10868.666273168685,2017-02-05,2017-02-19,2017-02-05,mobile,2017-02-23,186.47876447876448,76.16079295154185
2017,1,4669,1529,JAB,2017-02-05,1,3,7308.5306094188009,2017-02-05,2017-02-19,2017-02-05,tablet,2017-02-23,123.94015444015444,47.198237885462554
2017,1,,,JAB,2017-02-05,1,3,9770.9599999999991,2017-02-05,2017-02-19,2017-02-05,telesales,2017-02-23,152.0,38.0
2017,1,54396,8754,JAB,2017-02-05,1,3,424621.79301875911,2017-02-05,2017-02-19,2017-02-05,desktop,2017-02-24,8650.1407817040017,3171.8931261770244
2017,1,53601,17366,JAB,2017-02-05,1,3,134917.64902777827,2017-02-05,2017-02-19,2017-02-05,mobile,2017-02-24,2414.3372387290278,1026.2961393596986
2017,1,10994,2422,JAB,2017-02-05,1,3,54996.507953462438,2017-02-05,2017-02-19,2017-02-05,tablet,2017-02-24,1091.5219795669698,395.81073446327684
2017,1,,,JAB,2017-02-05,1,3,9083.7800000000007,2017-02-05,2017-02-19,2017-02-05,telesales,2017-02-24,181.0,83.0
2017,1,30218,4898,JAB,2017-02-05,1,3,263744.4501659681,2017-02-05,2017-02-19,2017-02-05,desktop,2017-02-25,6042.2703492063492,1815.3558732612055
2017,1,46064,16568,JAB,2017-02-05,1,3,91741.215798778765,2017-02-05,2017-02-19,2017-02-05,mobile,2017-02-25,2007.6745396825395,664.77820710973731
2017,1,11314,2770,JAB,2017-02-05,1,3,65294.194035253211,2017-02-05,2017-02-19,2017-02-05,tablet,2017-02-25,1423.0551111111113,396.86591962905715
2017,1,,,JAB,2017-02-05,1,3,5432.6099999999997,2017-02-05,2017-02-19,2017-02-05,telesales,2017-02-25,159.0,52.0
2017,1,26910,4953,JAB,2017-02-05,1,4,176633.19003593893,2017-02-05,2017-02-26,2017-02-05,desktop,2017-02-26,4515.1030444964872,1373.4961597542242
